"sj","item","adv_type","adv_t","verb_t","gramm","ROI","label","fp","gp","tt","ri","ro"
"1","54","Deic","Past","Past","1","1","En la carnicería,",1173,1173,1173,0,0
"1","54","Deic","Past","Past","1","2","ayer temprano",474,474,474,0,0
"1","54","Deic","Past","Past","1","3","los carniceros",910,910,910,0,0
"1","54","Deic","Past","Past","1","4","encargaron",1027,1027,1027,0,0
"1","54","Deic","Past","Past","1","5","muchas piezas",521,521,521,0,0
"1","54","Deic","Past","Past","1","6","al proveedor.",1029,1029,1029,0,0
"1","4","Deic","Future","Future","1","1","Debido a su ocupación,",961,961,2059,1,0
"1","4","Deic","Future","Future","1","2","el próximo año",593,593,1356,1,0
"1","4","Deic","Future","Future","1","3","los anticuarios",1242,1242,1865,0,0
"1","4","Deic","Future","Future","1","4","coleccionarán",562,562,1337,1,0
"1","4","Deic","Future","Future","1","5","estatuas griegas",1226,2243,2403,0,1
"1","4","Deic","Future","Future","1","6","muy antiguas.",734,4153,734,0,1
"1","62","Deic","Past","Past","1","1","Para su comodidad,",1043,1043,1394,1,0
"1","62","Deic","Past","Past","1","2","el verano pasado",1185,1185,1185,0,0
"1","62","Deic","Past","Past","1","3","los pastores",529,529,1052,1,0
"1","62","Deic","Past","Past","1","4","esquilaron",293,1664,1141,0,1
"1","62","Deic","Past","Past","1","5","las ovejas",417,417,417,0,0
"1","62","Deic","Past","Past","1","6","del monte.",430,781,430,0,1
"1","36","Non-deic","none","Future","1","1","Con ocasión de la comida familial,",1640,1640,1640,0,0
"1","36","Non-deic","none","Future","1","2","el sábado a la una",509,509,1286,1,0
"1","36","Non-deic","none","Future","1","3","los abuelos",176,1506,729,0,1
"1","36","Non-deic","none","Future","1","4","disfrutarán",428,428,1219,1,0
"1","36","Non-deic","none","Future","1","5","al ver",183,1894,1103,0,1
"1","36","Non-deic","none","Future","1","6","al nieto.",NA,NA,NA,NA,NA
"1","96","Deic","Future","Past","0","1","Cuidadosamente,",1126,1126,1126,0,0
"1","96","Deic","Future","Past","0","2","mañana por la tarde",674,674,1630,1,0
"1","96","Deic","Future","Past","0","3","los vendedores",1166,1166,2291,1,0
"1","96","Deic","Future","Past","0","4","conservaron",713,1963,1868,0,1
"1","96","Deic","Future","Past","0","5","los pasteles",845,845,1203,1,0
"1","96","Deic","Future","Past","0","6","en un envase.",263,3047,703,0,1
"1","52","Deic","Past","Past","1","1","Después de una larga espera,",1506,1506,1506,0,0
"1","52","Deic","Past","Past","1","2","anteayer al amanecer",1124,1124,1124,0,0
"1","52","Deic","Past","Past","1","3","los marineros",673,673,673,0,0
"1","52","Deic","Past","Past","1","4","desamarraron",890,890,1707,1,0
"1","52","Deic","Past","Past","1","5","el bote",213,1254,610,1,1
"1","52","Deic","Past","Past","1","6","del puerto.",279,452,279,0,1
"1","90","Deic","Future","Past","0","1","Según los críticos,",1611,1611,1611,0,0
"1","90","Deic","Future","Past","0","2","mañana",365,365,365,0,0
"1","90","Deic","Future","Past","0","3","los músicos",427,427,427,0,0
"1","90","Deic","Future","Past","0","4","decepcionaron",962,962,962,0,0
"1","90","Deic","Future","Past","0","5","al público",237,237,237,0,0
"1","90","Deic","Future","Past","0","6","mas fanático.",762,762,762,0,0
"1","49","Non-deic","none","Future","1","1","Para su diversión,",760,760,972,1,0
"1","49","Non-deic","none","Future","1","2","al atardecer",322,740,528,0,1
"1","49","Non-deic","none","Future","1","3","los niños",924,924,1115,1,0
"1","49","Non-deic","none","Future","1","4","ducharán",186,991,800,0,1
"1","49","Non-deic","none","Future","1","5","al perro",449,449,706,1,0
"1","49","Non-deic","none","Future","1","6","del vecino.",232,489,232,0,1
"1","8","Deic","Future","Future","1","1","Durante la clase,",1599,1599,1599,0,0
"1","8","Deic","Future","Future","1","2","mañana",209,209,209,0,0
"1","8","Deic","Future","Future","1","3","los profesores",367,367,367,0,0
"1","8","Deic","Future","Future","1","4","evidenciarán",718,718,718,0,0
"1","8","Deic","Future","Future","1","5","los problemas",404,404,404,0,0
"1","8","Deic","Future","Future","1","6","de comunicación.",1337,1337,1337,0,0
"1","9","Deic","Future","Future","1","1","Según los rumores,",1249,1249,1249,0,0
"1","9","Deic","Future","Future","1","2","mañana",293,293,293,0,0
"1","9","Deic","Future","Future","1","3","los evaluadores",1144,1144,1144,0,0
"1","9","Deic","Future","Future","1","4","excusarán",1453,1453,1453,0,0
"1","9","Deic","Future","Future","1","5","al candidato favorito",887,887,887,0,0
"1","9","Deic","Future","Future","1","6","por su ausencia.",946,946,946,0,0
"1","56","Deic","Past","Past","1","1","Siguiendo su estrategia,",903,903,903,0,0
"1","56","Deic","Past","Past","1","2","hace tres semanas",811,811,811,0,0
"1","56","Deic","Past","Past","1","3","los abogados",612,612,612,0,0
"1","56","Deic","Past","Past","1","4","equipararon",769,769,769,0,0
"1","56","Deic","Past","Past","1","5","a la víctima",433,433,433,0,0
"1","56","Deic","Past","Past","1","6","con un terrorista.",759,759,759,0,0
"1","11","Deic","Future","Future","1","1","En Pamplona,",638,638,862,1,0
"1","11","Deic","Future","Future","1","2","mañana por la noche",681,681,681,0,0
"1","11","Deic","Future","Future","1","3","las niñas",406,406,406,0,0
"1","11","Deic","Future","Future","1","4","cenarán",778,778,778,0,0
